Date,Open,High,Low,Close,Volume,Adj Close
3/29/2012,612.780006,616.560013,607.230026,609.859993,152059600,79.013187
3/30/2012,608.769981,610.559982,597.939987,599.550011,182759500,77.67743
4/2/2012,601.830009,618.769997,600.37999,618.63002,149587900,80.149428
4/3/2012,627.300018,632.209984,622.510002,629.319984,208639900,81.534415
4/4/2012,624.349991,625.859985,617.000023,624.30999,143245200,80.885322
4/5/2012,626.980011,634.660027,623.400009,633.679977,160324500,82.099293
4/9/2012,626.130005,639.840012,625.300026,636.229996,149384200,82.429673
4/10/2012,639.93,644,626.000015,628.440018,222431300,81.420407
4/11/2012,636.199982,636.87001,623.339981,626.20002,174153700,81.130193
4/12/2012,624.999992,631.330017,620.500023,622.769981,153584200,80.685799
4/13/2012,624.109985,624.700012,603.509995,605.22998,214911200,78.413325
4/16/2012,610.059998,610.279976,578.249977,580.13002,262696700,75.161385
4/17/2012,578.93998,610.000023,571.910019,609.699989,256382000,78.992457
4/18/2012,613.720001,620.249977,602.709976,608.340012,238632800,78.816259
4/19/2012,600.219986,604.729996,584.519974,587.439987,208679800,76.108461
4/20/2012,591.379997,594.620018,570.419998,572.980003,257746300,74.235032
4/23/2012,570.610016,576.670021,556.620003,571.699974,241632300,74.069192
4/24/2012,562.609993,567.690002,554.999992,560.280006,269037300,72.589626
4/25/2012,615.639992,617.999992,605.999985,610.000023,226444400,79.031329
4/26/2012,614.269974,614.69001,602.12999,607.699997,134017100,78.733339
4/27/2012,605.069977,606.180016,600.499992,603.000023,101680600,78.124412
4/30/2012,597.800011,598.400024,582.999992,583.979988,126536200,75.660185
5/1/2012,584.900009,596.759987,581.230019,582.130013,152749800,75.420503
5/2/2012,580.239983,587.399986,578.859978,585.97998,106847300,75.919303
5/3/2012,590.499977,591.400024,580.300011,581.819992,97637400,75.380337
5/4/2012,577.080017,578.359993,565.169998,565.25,132498100,73.233536
5/7/2012,561.500008,572.770012,561.229988,569.480003,115029600,73.781574
5/8/2012,569.579979,571.500023,558.730011,568.18,124313000,73.613146
5/9/2012,563.700005,573.980026,560.850006,569.180023,120176000,73.742708
5/10/2012,574.579987,575.87999,568.43998,570.519974,83300000,73.916312
5/11/2012,565.000008,574.470024,564.350006,566.710007,99886500,73.422694
5/14/2012,562.569992,567.510025,557.599998,558.219986,88156600,72.322731
5/15/2012,561.45002,563.219994,551.749985,553.169991,119084000,71.668456
5/16/2012,554.050011,556.890022,541.039993,546.080002,140224000,70.74988
5/17/2012,545.309998,547.500008,530.12001,530.12001,179305000,68.682111
5/18/2012,533.959991,543.409981,522.180016,530.37999,183073100,68.715793
5/21/2012,534.499977,561.540009,534.04998,561.279976,157776500,72.719182
5/22/2012,569.550018,573.879997,552.580017,556.970024,173717600,72.160786
5/23/2012,557.500023,572.800026,553.230019,570.559975,146224400,73.921494
5/24/2012,575.870003,576.499977,561.229988,565.320015,124057500,73.242607
5/25/2012,564.590012,565.850014,558.469978,562.289986,82126800,72.850038
5/29/2012,570.900009,574,565.309975,572.269974,95127200,74.143041
5/30/2012,569.199997,579.98999,566.55999,579.169998,132357400,75.037005
5/31/2012,580.740021,581.499985,571.460022,577.730019,122918600,74.850442
6/1/2012,569.159996,572.650009,560.520012,560.989983,130246900,72.68161
6/4/2012,561.500008,567.499985,548.499977,564.289978,139248900,73.109156
6/5/2012,561.269989,566.470001,558.330002,562.830025,97053600,72.920005
